Scheme Name,Category,Official Link,Language
SWAYAM Online Courses,Education,https://swayam.gov.in/,English
Pragati Scholarship (Girls),Education,https://www.aicte-india.org/,English
Saksham Scholarship,Education,https://www.aicte-india.org/,English
PM Research Fellowship,Education,https://pmrf.in/,English
INSPIRE Awards,Education,https://www.inspireawards-dst.gov.in/,English
National Digital Library,Education,https://ndl.iitkgp.ac.in/,English
RUSA (Higher Education),Education,https://education.gov.in/rusa,English
Vidyanjali 2.0,Education,https://vidyanjali.education.gov.in/,English
PM Vidya Lakshmi,Education,https://www.vidyalakshmi.co.in/,English
Navodaya Vidyalaya Scheme,Education,[suspicious link removed],English
NISHTHA Training,Education,https://nishtha.ncert.gov.in/,English
Adult Education Saakshar Bharat,Education,https://education.gov.in/,English
Kendriya Vidyalaya Scheme,Education,https://kvsangathan.nic.in/,English
National Means Merit Scholarship,Education,https://scholarships.gov.in/,English
PM Matru Vandana Yojana,Women & Child,https://wcd.nic.in/,English
POSHAN Abhiyaan,Women & Child,https://poshanabhiyaan.gov.in/,English
Sukanya Samriddhi Yojana,Women & Child,https://www.nsiindia.gov.in/,English
Mahila Co-operative Societies,Women & Child,https://ncui.coop/,English
One Stop Centre (Sakhi),Women & Child,https://wcd.nic.in/,English
Working Women Hostel,Women & Child,https://wcd.nic.in/,English
STEP (Skill for Women),Women & Child,https://wcd.nic.in/,English
Mahila E-Haat,Women & Child,http://mahilaehaat-rmk.nic.in/,English
Swadhar Greh,Women & Child,https://wcd.nic.in/,English
Nari Shakti Puraskar,Women & Child,https://www.nari-shakti.wcd.gov.in/,English
Mahila Shakti Kendras,Women & Child,https://wcd.nic.in/,English
Kishori Shakti Yojana,Women & Child,https://wcd.nic.in/,English
National Creche Scheme,Women & Child,https://wcd.nic.in/,English
Integrated Child Protection,Women & Child,https://wcd.nic.in/,English
PM Ujjwala Yojana,Women & Child,https://www.pmuy.gov.in/,English
Free Sewing Machine Scheme,Women & Child,https://india.gov.in/,English
Stand Up India (Women),Women & Child,https://www.standupmitra.in/,English
Anganwadi Services,Women & Child,https://wcd.nic.in/,English
Mahila Samman Savings,Women & Child,https://www.indiapost.gov.in/,English
Ladli Laxmi Yojana,Women & Child,[suspicious link removed],English
PM Mudra Yojana,Finance,https://www.mudra.org.in/,English
MGNREGA,Finance,https://nrega.nic.in/,English
PM Svanidhi,Finance,[suspicious link removed],English
PM Jeevan Jyoti Bima,Finance,https://jansuraksha.gov.in/,English
PM Suraksha Bima,Finance,https://jansuraksha.gov.in/,English
Atal Pension Yojana,Finance,https://www.npscra.nsdl.co.in/,English
Stand Up India,Finance,https://www.standupmitra.in/,English
PM Employment Generation,Finance,https://www.kviconline.gov.in/,English
Deen Dayal Antyodaya (NRLM),Finance,https://aajeevika.gov.in/,English
Startup India,Finance,https://www.startupindia.gov.in/,English
PM Vishwakarma Yojana,Finance,https://pmvishwakarma.gov.in/,English
Skill India Mission,Finance,https://www.skillindia.gov.in/,English
PM Kaushal Vikas (PMKVY),Finance,https://www.pmkvyofficial.org/,English
National Apprenticeship,Finance,https://www.apprenticeshipindia.gov.in/,English
Atmanirbhar Bharat Rojgar,Finance,https://www.epfindia.gov.in/,English
PM Jan Dhan Yojana,Finance,https://pmjdy.gov.in/,English
Venture Capital Fund SC/ST,Finance,https://vcfsc.in/,English
Credit Guarantee MSEs,Finance,https://www.cgtmse.in/,English
Senior Citizens Savings,Finance,https://www.nsiindia.gov.in/,English
Sovereign Gold Bond,Finance,https://www.rbi.org.in/,English
